col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,brand_0,brand_1,brand_2,brand_3,brand_4,brand_5,brand_6,brand_7,price,available,sold,price_boxcox,update_month,update_day,revenue,state_0,state_1,state_2,state_3,state_4,state_5,state_6,price_scaled,sold_robust,available_robust,type_Body Care,type_Body Mist,type_Cologne,type_Eau de Parfum,type_Eau de Toilette,type_Extrait de Parfum,type_Gift Set,type_Others,type_Perfume Spray,country_Bulgaria,country_Canada,country_China,country_Estados Unidos,country_Hong Kong,country_India,country_Japan,country_Pakistan,country_Taiwan,country_United States
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,17.9,10,4,2.9178026347201684,5,21,71.6,0,0,0,0,1,0,1,-0.9409710264500663,-0.1934156378600823,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,29.75,9,80,3.3968940436629795,5,24,2380.0,0,0,0,1,0,0,0,-0.14966476465558762,0.11934156378600823,-0.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,19.99,10,441,3.0211392016059704,5,20,8815.59,0,0,0,0,0,1,0,-0.7702919641193118,1.6049382716049383,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,43.99,2,16,3.7706672213500445,5,24,703.84,0,0,0,1,1,0,1,0.4676893570709003,-0.1440329218106996,-1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.99,2,21,4.069010200941217,5,22,1259.79,0,0,0,0,1,1,0,0.9604568404909547,-0.12345679012345678,-1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,42.88,10,71,3.7461521722826743,5,19,3044.48,0,0,0,0,1,0,0,0.427198311994522,0.0823045267489712,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,100.99,1,49,4.5721358953715585,5,17,4948.509999999999,0,0,1,0,0,0,0,1.7914600792068232,-0.00823045267489712,-1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,26.05,10,128,3.270814920769993,5,19,3334.4,0,0,1,0,0,0,1,-0.3579072786403983,0.3168724279835391,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54.99,5,60,3.9851850854642814,5,24,3299.4,0,0,0,1,1,0,1,0.82200447517112,0.037037037037037035,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.99,6,179,3.8934726423156056,5,21,8948.210000000001,0,0,0,0,0,1,1,0.670524759205935,0.5267489711934157,-0.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,47.49,2,208,3.844167162566823,5,24,9877.92,0,0,0,0,1,0,1,0.5890878264250134,0.6460905349794238,-1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,43.99,1,166,3.7706672213500445,5,23,7302.34,0,0,1,0,0,1,0,0.4676893570709003,0.4732510288065844,-1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,32.0,10,87,3.4663074313878988,5,7,2784.0,0,0,0,0,1,0,0,-0.035015978779209644,0.14814814814814814,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,31.5,10,287,3.451302365810736,5,15,9040.5,0,0,0,0,0,1,0,-0.05979956313954412,0.9711934156378601,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,42.99,5,243,3.7486092501651265,5,23,10446.57,0,0,0,0,1,0,0,0.4312566212812436,0.7901234567901234,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,98.99,3,56,4.5527803069372474,4,24,5543.44,0,0,0,0,1,0,1,1.7594908181370315,0.0205761316872428,-1.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,42.0,4,404,3.726269767507821,5,23,16968.0,0,0,0,1,1,0,1,0.39435891829178127,1.4526748971193415,-1.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,39.99,10,102,3.6792786124863026,5,8,4078.98,0,0,1,0,0,0,1,0.3167445120983249,0.20987654320987653,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,27.99,10,87,3.3389413768900096,5,23,2435.1299999999997,0,0,0,0,0,1,1,-0.2453840934707992,0.14814814814814814,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.99,2,130,3.7486092501651265,5,24,5588.7,0,0,0,1,1,0,1,0.4312566212812436,0.32510288065843623,-1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,43.99,6,25,3.7706672213500445,5,23,1099.75,0,0,0,0,0,1,1,0.4676893570709003,-0.10699588477366255,-0.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
